Anodizado
Fecha: 10-Jan-2014 15:43:56
Tension	Corriente
2.233333e+001	1.314370e-003
2.240000e+001	1.301360e-003
2.246667e+001	1.287820e-003
2.253333e+001	1.274020e-003
2.260000e+001	1.251930e-003
2.266667e+001	1.237860e-003
2.273333e+001	1.224050e-003
2.280000e+001	1.210560e-003
2.286667e+001	1.198380e-003
2.293333e+001	1.187080e-003
2.300000e+001	1.177070e-003
2.306667e+001	1.167140e-003
2.313333e+001	1.161420e-003
2.320000e+001	1.127070e-003
2.326667e+001	1.106380e-003
2.333333e+001	1.084250e-003
2.340000e+001	1.066880e-003
2.346667e+001	1.042950e-003
2.353333e+001	1.024400e-003
2.360000e+001	1.005940e-003
2.366667e+001	9.938440e-004
2.373333e+001	1.095210e-003
2.380000e+001	1.078160e-003
2.386667e+001	1.051790e-003
2.393333e+001	1.040570e-003
2.400000e+001	1.029290e-003
2.406667e+001	1.012810e-003
2.413333e+001	9.954180e-004
2.420000e+001	9.836990e-004
2.426667e+001	9.733910e-004
2.433333e+001	9.575580e-004
2.440000e+001	9.495360e-004
2.446667e+001	9.416100e-004
2.453333e+001	9.349680e-004
2.460000e+001	9.288030e-004
2.466667e+001	9.225110e-004
2.473333e+001	9.158070e-004
2.480000e+001	9.097360e-004
2.486667e+001	9.055920e-004
2.493333e+001	9.006260e-004
2.500000e+001	8.961310e-004
2.506667e+001	8.895440e-004
2.513333e+001	8.841270e-004
2.520000e+001	8.735470e-004
2.526667e+001	8.663030e-004
2.533333e+001	8.591130e-004
2.540000e+001	8.522950e-004
2.546667e+001	8.463980e-004
2.553333e+001	8.392970e-004
2.560000e+001	8.326300e-004
2.566667e+001	8.259940e-004
2.573333e+001	8.206550e-004
2.580000e+001	8.167500e-004
2.586667e+001	8.115600e-004
2.593333e+001	8.061530e-004
2.600000e+001	8.024140e-004
2.606667e+001	7.939510e-004
2.613333e+001	7.898610e-004
2.620000e+001	7.856360e-004
2.626667e+001	7.843530e-004
2.633333e+001	7.822710e-004
2.640000e+001	7.801760e-004
2.646667e+001	7.787810e-004
2.653333e+001	7.775100e-004
2.660000e+001	7.763410e-004
2.666667e+001	7.754370e-004
2.673333e+001	7.736240e-004
2.680000e+001	7.735090e-004
2.686667e+001	7.722710e-004
2.693333e+001	7.694590e-004
2.700000e+001	7.695760e-004
2.706667e+001	7.691400e-004
2.713333e+001	7.682200e-004
2.720000e+001	7.685930e-004
2.726667e+001	7.672460e-004
2.733333e+001	7.669420e-004
2.740000e+001	7.662590e-004
2.746667e+001	7.663090e-004
2.753333e+001	7.657120e-004
2.760000e+001	7.648860e-004
2.766667e+001	7.643050e-004
2.773333e+001	7.632930e-004
2.780000e+001	7.610860e-004
2.786667e+001	7.609660e-004
2.793333e+001	7.594120e-004
2.800000e+001	7.589480e-004
2.806667e+001	7.602990e-004
2.813333e+001	7.605060e-004
2.820000e+001	7.611420e-004
2.826667e+001	7.606560e-004
2.833333e+001	7.607000e-004
2.840000e+001	7.591780e-004
2.846667e+001	7.591080e-004
2.853333e+001	7.592400e-004
2.860000e+001	7.576380e-004
2.866667e+001	7.554200e-004
2.873333e+001	7.545320e-004
2.880000e+001	7.550510e-004
2.886667e+001	7.531850e-004
2.893333e+001	7.527720e-004
2.900000e+001	7.530120e-004
2.906667e+001	7.514200e-004
2.913333e+001	7.512400e-004
2.920000e+001	7.500530e-004
2.926667e+001	7.480360e-004
2.933333e+001	7.464980e-004
2.940000e+001	7.452350e-004
2.946667e+001	7.433820e-004
2.953333e+001	7.382550e-004
2.960000e+001	7.356160e-004
2.966667e+001	7.344120e-004
2.973333e+001	7.312730e-004
2.980000e+001	7.289790e-004
2.986667e+001	7.265870e-004
2.993333e+001	7.246510e-004
3.000000e+001	7.232440e-004
3.006667e+001	7.210770e-004
3.013333e+001	7.187800e-004
3.020000e+001	7.159020e-004
3.026667e+001	7.141580e-004
3.033333e+001	7.120220e-004
3.040000e+001	7.072370e-004
3.046667e+001	7.057760e-004
3.053333e+001	7.047020e-004
3.060000e+001	7.033650e-004
3.066667e+001	7.022520e-004
3.073333e+001	6.990120e-004
3.080000e+001	6.985610e-004
3.086667e+001	6.970060e-004
3.093333e+001	6.956840e-004
3.100000e+001	6.946950e-004
3.106667e+001	6.931000e-004
3.113333e+001	6.915170e-004
3.120000e+001	6.900850e-004
3.126667e+001	6.865610e-004
3.133333e+001	6.850820e-004
3.140000e+001	6.841330e-004
3.146667e+001	6.826820e-004
3.153333e+001	6.813770e-004
3.160000e+001	6.794510e-004
3.166667e+001	6.790240e-004
3.173333e+001	6.779760e-004
3.180000e+001	6.771490e-004
3.186667e+001	6.759260e-004
3.193333e+001	6.761270e-004
3.200000e+001	6.746230e-004
3.206667e+001	6.729100e-004
3.213333e+001	6.709560e-004
3.220000e+001	6.705940e-004
3.226667e+001	6.696930e-004
3.233333e+001	6.691380e-004
3.240000e+001	6.685690e-004
3.246667e+001	6.677760e-004
3.253333e+001	6.653580e-004
3.260000e+001	6.645220e-004
3.266667e+001	6.641280e-004
3.273333e+001	6.643640e-004
3.280000e+001	6.635070e-004
3.286667e+001	6.624920e-004
3.293333e+001	6.620330e-004
3.300000e+001	6.588000e-004
3.306667e+001	6.576560e-004
3.313333e+001	6.567970e-004
3.320000e+001	6.556190e-004
3.326667e+001	6.547250e-004
3.333333e+001	6.539050e-004
3.340000e+001	6.522100e-004
3.346667e+001	6.516710e-004
3.353333e+001	6.519230e-004
3.360000e+001	6.510880e-004
3.366667e+001	6.506320e-004
3.373333e+001	6.490500e-004
3.380000e+001	6.478770e-004
3.386667e+001	6.461800e-004
3.393333e+001	6.450180e-004
3.400000e+001	6.443980e-004
3.406667e+001	6.436460e-004
3.413333e+001	6.431450e-004
3.420000e+001	6.415700e-004
3.426667e+001	6.409410e-004
3.433333e+001	6.408670e-004
3.440000e+001	6.402800e-004
3.446667e+001	6.399840e-004
3.453333e+001	6.370670e-004
3.460000e+001	6.366200e-004
3.466667e+001	6.350440e-004
3.473333e+001	6.323790e-004
3.480000e+001	6.312200e-004
3.486667e+001	6.292850e-004
3.493333e+001	6.294940e-004
3.500000e+001	6.289340e-004
3.506667e+001	6.290410e-004
3.513333e+001	6.276710e-004
3.520000e+001	6.273120e-004
3.526667e+001	6.257920e-004
3.533333e+001	6.256540e-004
3.540000e+001	6.260750e-004
3.546667e+001	6.253110e-004
3.553333e+001	6.247930e-004
3.560000e+001	6.226210e-004
3.566667e+001	6.218720e-004
3.573333e+001	6.228840e-004
3.580000e+001	6.213810e-004
3.586667e+001	6.225830e-004
3.593333e+001	6.203170e-004
3.600000e+001	6.209080e-004
3.606667e+001	6.222600e-004
3.613333e+001	6.219910e-004
3.620000e+001	6.206450e-004
3.626667e+001	6.201060e-004
3.633333e+001	6.206910e-004
3.640000e+001	6.216420e-004
3.646667e+001	6.204420e-004
3.653333e+001	6.197540e-004
3.660000e+001	6.193090e-004
3.666667e+001	6.198970e-004
3.673333e+001	6.200700e-004
3.680000e+001	6.204790e-004
3.686667e+001	6.203520e-004
3.693333e+001	6.205470e-004
3.700000e+001	6.203390e-004
3.706667e+001	6.211300e-004
3.713333e+001	6.197590e-004
3.720000e+001	6.194150e-004
3.726667e+001	6.195930e-004
3.733333e+001	6.170770e-004
3.740000e+001	6.172230e-004
3.746667e+001	6.177310e-004
3.753333e+001	6.181530e-004
3.760000e+001	6.176610e-004
3.766667e+001	6.182880e-004
3.773333e+001	6.175720e-004
3.780000e+001	6.178820e-004
3.786667e+001	6.182070e-004
3.793333e+001	6.166180e-004
3.800000e+001	6.163620e-004
3.806667e+001	6.151880e-004
3.813333e+001	6.151690e-004
3.820000e+001	6.127930e-004
3.826667e+001	6.124120e-004
3.833333e+001	6.106860e-004
3.840000e+001	6.112080e-004
3.846667e+001	6.107930e-004
3.853333e+001	6.111080e-004
3.860000e+001	6.108260e-004
3.866667e+001	6.105190e-004
3.873333e+001	6.113040e-004
3.880000e+001	6.105520e-004
3.886667e+001	6.111220e-004
3.893333e+001	6.094870e-004
3.900000e+001	6.086400e-004
3.906667e+001	6.066220e-004
3.913333e+001	6.061370e-004
3.920000e+001	6.057940e-004
3.926667e+001	6.055830e-004
3.933333e+001	6.062500e-004
3.940000e+001	6.055160e-004
3.946667e+001	6.051210e-004
3.953333e+001	6.043200e-004
3.960000e+001	6.034060e-004
3.966667e+001	6.022310e-004
3.973333e+001	6.010580e-004
3.980000e+001	5.975440e-004
3.986667e+001	5.975970e-004
3.993333e+001	5.954180e-004
4.000000e+001	5.946390e-004
4.006667e+001	5.934890e-004
4.013333e+001	5.930400e-004
4.020000e+001	5.935710e-004
4.026667e+001	5.932830e-004
4.033333e+001	5.943710e-004
4.040000e+001	5.935780e-004
4.046667e+001	5.933490e-004
4.053333e+001	5.936630e-004
4.060000e+001	5.927210e-004
4.066667e+001	5.917170e-004
4.073333e+001	5.914390e-004
4.080000e+001	5.910350e-004
4.086667e+001	5.905490e-004
4.093333e+001	5.899770e-004
4.100000e+001	5.893510e-004
4.106667e+001	5.886080e-004
4.113333e+001	5.881490e-004
4.120000e+001	5.875540e-004
4.126667e+001	5.858940e-004
4.133333e+001	5.873270e-004
4.140000e+001	5.865020e-004
4.146667e+001	5.873500e-004
4.153333e+001	5.877130e-004
4.160000e+001	5.877790e-004
4.166667e+001	5.867990e-004
4.173333e+001	5.880460e-004
4.180000e+001	5.878270e-004
4.186667e+001	5.892260e-004
4.193333e+001	5.890920e-004
4.200000e+001	5.906870e-004
4.206667e+001	5.910570e-004
4.213333e+001	5.921200e-004
4.220000e+001	5.931810e-004
4.226667e+001	5.933640e-004
4.233333e+001	5.947630e-004
4.240000e+001	5.949860e-004
4.246667e+001	5.955420e-004
4.253333e+001	5.948720e-004
4.260000e+001	5.972240e-004
4.266667e+001	5.970630e-004
4.273333e+001	5.961000e-004
4.280000e+001	5.958440e-004
4.286667e+001	5.962930e-004
4.293333e+001	5.969930e-004
4.300000e+001	5.961610e-004
4.306667e+001	5.959090e-004
4.313333e+001	5.956770e-004
4.320000e+001	5.950570e-004
4.326667e+001	5.955510e-004
4.333333e+001	5.959410e-004
4.340000e+001	5.940410e-004
4.346667e+001	5.927000e-004
4.353333e+001	5.916690e-004
4.360000e+001	5.913060e-004
4.366667e+001	5.924820e-004
4.373333e+001	5.936810e-004
4.380000e+001	5.915030e-004
4.386667e+001	5.905230e-004
4.393333e+001	5.900920e-004
4.400000e+001	5.906440e-004
4.406667e+001	5.905660e-004
4.413333e+001	5.909440e-004
4.420000e+001	5.920710e-004
4.426667e+001	5.925680e-004
4.433333e+001	5.929760e-004
4.440000e+001	5.942240e-004
4.446667e+001	5.927430e-004
4.453333e+001	5.923620e-004
4.460000e+001	5.926830e-004
4.466667e+001	5.930140e-004
4.473333e+001	5.921070e-004
4.480000e+001	5.898180e-004
4.486667e+001	5.898420e-004
4.493333e+001	5.896320e-004
4.500000e+001	5.891070e-004
4.506667e+001	5.884300e-004
4.513333e+001	5.881770e-004
4.520000e+001	5.888080e-004
4.526667e+001	5.880600e-004
4.533333e+001	5.887110e-004
4.540000e+001	5.890460e-004
4.546667e+001	5.897920e-004
4.553333e+001	5.902420e-004
4.560000e+001	5.897990e-004
4.566667e+001	5.889940e-004
4.573333e+001	5.887200e-004
4.580000e+001	5.886180e-004
4.586667e+001	5.897000e-004
4.593333e+001	5.894090e-004
4.600000e+001	5.877320e-004
4.606667e+001	5.875820e-004
4.613333e+001	5.878260e-004
4.620000e+001	5.868680e-004
4.626667e+001	5.865810e-004
4.633333e+001	5.863670e-004
4.640000e+001	5.853310e-004
4.646667e+001	5.849760e-004
4.653333e+001	5.852950e-004
4.660000e+001	5.856340e-004
4.666667e+001	5.855870e-004
4.673333e+001	5.862370e-004
4.680000e+001	5.867060e-004
4.686667e+001	5.856380e-004
